SGB ID;# Reconstructed genomes;# Reference genomes;uSGB;Level of estimated taxonomy;Estimated taxonomy;Average distance from closest Reference Genome;Full taxonomic label of the closest genome;Taxonomic assignment based on 16S rRNA sequences (family level);Taxonomic assignment based on 16S rRNA sequences (genus level)
12700;1;1;No;Species;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_KKS102|t__SGB12700;0,0450188;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_KKS102;-;-
12785;1;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__GGB8337|s__GGB8337_SGB12785|t__SGB12785;0,231311;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_sp_NJ1;-;-
12918;10;4;No;Species;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_insidiosa|t__SGB12918;0,008999857;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_insidiosa;Burkholderiaceae;Ralstonia
12928;15;3;No;Species;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_metallidurans|t__SGB12928;0,019842767;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp_HMR_1;Burkholderiaceae;Cupriavidus
13140;3;43;No;Species;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_xylosoxidans|t__SGB13140;0,0436686;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_xylosoxidans;-;-
13142;4;14;No;Species;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_xylosoxidans|t__SGB13142;0,01600725;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_xylosoxidans;-;-
13164;10;0;Yes;Genus;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_SGB13164|t__SGB13164;0,1396175;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis;-;-
13165;78;1;No;Species;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis|t__SGB13165;0,030722215;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis;Burkholderiaceae;Lautropia
13442;1;0;Yes;Family;k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Chroococcaceae|g__GGB8676|s__GGB8676_SGB13442|t__SGB13442;0,279978;k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcidiopsidales|f__Chroococcidiopsidaceae|g__Aliterella|s__Aliterella_atlantica;-;-
13602;2;0;Yes;Genus;k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified|f__Leptospiraceae|g__Leptospira|s__Leptospira_SGB13602|t__SGB13602;0,109632;k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified|f__Leptospiraceae|g__Leptospira|s__Leptospira_sp_ES4_C_A1;-;-
13825;3;0;Yes;Other;k__Bacteria|p__Actinobacteria|c__CFBG2801|o__OFBG2801|f__FBG2801|g__GGB8965|s__GGB8965_SGB13825|t__SGB13825;0,295118;k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_oral_taxon_810;-;-
13947;88;1;No;Species;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_552|t__SGB13947;0,010577093;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_552;Catabacteriaceae;Catabacter
13948;2;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB9046|s__GGB9046_SGB13948|t__SGB13948;0,2586905;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13949;1;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB9046|s__GGB9046_SGB13949|t__SGB13949;0,270747;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_CAG_917;-;-
13950;4;1;No;Species;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_CAG_917|t__SGB13950;0,008893233;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_CAG_917;-;-
13951;1;0;Yes;Genus;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_SGB13951|t__SGB13951;0,0849915;k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_CAG_917;-;-
13952;4;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2831|o__OFBG2831|f__FBG2831|g__GGB9048|s__GGB9048_SGB13952|t__SGB13952;0,30413225;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13954;2;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2831|o__OFBG2831|f__FBG2831|g__GGB9049|s__GGB9049_SGB13954|t__SGB13954;0,3166195;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_176;-;-
13955;1;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2831|o__OFBG2831|f__FBG2831|g__GGB9050|s__GGB9050_SGB13955|t__SGB13955;0,300994;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13956;3;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2831|o__OFBG2831|f__FBG2831|g__GGB9051|s__GGB9051_SGB13956|t__SGB13956;0,295360333;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13957;2;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2831|o__OFBG2831|f__FBG2831|g__GGB9052|s__GGB9052_SGB13957|t__SGB13957;0,269242;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13958;1;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2831|o__OFBG2831|f__FBG2831|g__GGB9053|s__GGB9053_SGB13958|t__SGB13958;0,291447;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13959;19;1;No;Species;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_sp_CAG_1138|t__SGB13959;0,016026248;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_sp_CAG_1138;-;-
13960;1;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB9055|s__GGB9055_SGB13960|t__SGB13960;0,174048;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13964;11;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB9056|s__GGB9056_SGB13964|t__SGB13964;0,176192545;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;Christensenellaceae;Christensenella
13965;33;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB9056|s__GGB9056_SGB13965|t__SGB13965;0,176962212;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;Christensenellaceae;Christensenella
13966;1;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB9056|s__GGB9056_SGB13966|t__SGB13966;0,203604;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13967;2;0;Yes;Genus;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_unclassified_SGB13967|t__SGB13967;0,1372725;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13968;9;0;Yes;Genus;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_unclassified_SGB13968|t__SGB13968;0,141951;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13969;2;0;Yes;Genus;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_unclassified_SGB13969|t__SGB13969;0,1458725;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13971;3;0;Yes;Genus;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_unclassified_SGB13971|t__SGB13971;0,144354;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13972;145;1;No;Species;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475|t__SGB13972;0,021135461;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;Christensenellaceae;Christensenella
13974;1;0;Yes;Genus;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_unclassified_SGB13974|t__SGB13974;0,102268;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
13975;2;0;Yes;Family;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB9058|s__GGB9058_SGB13975|t__SGB13975;0,211754;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_349;-;-
13976;273;1;No;Species;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_349|t__SGB13976;0,031925592;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_349;Acidaminococcaceae;Anaerobacter
13977;20;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9060|s__GGB9060_SGB13977|t__SGB13977;0,2401431;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_sp_CAG_397;-;-
13978;7;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9061|s__GGB9061_SGB13978|t__SGB13978;0,257870857;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_sp_CAG_397;-;-
13979;65;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9061|s__GGB9061_SGB13979|t__SGB13979;0,186283954;k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_sp_CAG_397;-;-
13981;15;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9062|s__GGB9062_SGB13981|t__SGB13981;0,322242467;k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus_sp_CAG_1435;-;-
13982;19;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9063|s__GGB9063_SGB13982|t__SGB13982;0,313829842;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13983;25;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9064|s__GGB9064_SGB13983|t__SGB13983;0,33673256;k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus_sp_CAG_1435;-;-
13984;1;0;Yes;Other;k__Bacteria|p__Bacteroidetes|c__CFBG2834|o__OFBG2834|f__FBG2834|g__GGB9065|s__GGB9065_SGB13984|t__SGB13984;0,312952;k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii;-;-
13985;2;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2835|o__OFBG2835|f__FBG2835|g__GGB9066|s__GGB9066_SGB13985|t__SGB13985;0,3177835;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_sp_CAG_1138;-;-
13986;4;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2835|o__OFBG2835|f__FBG2835|g__GGB9067|s__GGB9067_SGB13986|t__SGB13986;0,270789;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_sp_CAG_1138;-;-
13987;3;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2835|o__OFBG2835|f__FBG2835|g__GGB9068|s__GGB9068_SGB13987|t__SGB13987;0,265132;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_sp_CAG_1138;-;-
13988;1;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2835|o__OFBG2835|f__FBG2835|g__GGB9069|s__GGB9069_SGB13988|t__SGB13988;0,279978;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13990;6;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2836|o__OFBG2836|f__FBG2836|g__GGB9071|s__GGB9071_SGB13990|t__SGB13990;0,291528333;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13992;3;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2836|o__OFBG2836|f__FBG2836|g__GGB9072|s__GGB9072_SGB13992|t__SGB13992;0,254316333;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13993;4;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2836|o__OFBG2836|f__FBG2836|g__GGB9072|s__GGB9072_SGB13993|t__SGB13993;0,298755;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13994;5;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9073|s__GGB9073_SGB13994|t__SGB13994;0,263108;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13995;4;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9074|s__GGB9074_SGB13995|t__SGB13995;0,29289825;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13996;1;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9074|s__GGB9074_SGB13996|t__SGB13996;0,254359;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13997;31;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9075|s__GGB9075_SGB13997|t__SGB13997;0,185394355;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;Catabacteriaceae;Catabacter
13998;13;0;Yes;Genus;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_SGB13998|t__SGB13998;0,050488192;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
13999;53;1;No;Species;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727|t__SGB13999;0,026351768;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;Catabacteriaceae;Catabacter
14000;1;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9077|s__GGB9077_SGB14000|t__SGB14000;0,188197;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14001;7;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9078|s__GGB9078_SGB14001|t__SGB14001;0,244658;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14002;4;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9079|s__GGB9079_SGB14002|t__SGB14002;0,18149375;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;Christensenellaceae;Christensenella
14003;3;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9079|s__GGB9079_SGB14003|t__SGB14003;0,232261333;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14004;17;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9080|s__GGB9080_SGB14004|t__SGB14004;0,239206529;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14005;52;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9081|s__GGB9081_SGB14005|t__SGB14005;0,214660192;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;Catabacteriaceae;Catabacter
14006;2;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9082|s__GGB9082_SGB14006|t__SGB14006;0,2021465;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;Catabacteriaceae;Catabacter
14007;20;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9082|s__GGB9082_SGB14007|t__SGB14007;0,2298445;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14011;12;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9083|s__GGB9083_SGB14011|t__SGB14011;0,289807917;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14012;1;0;Yes;Family;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB9084|s__GGB9084_SGB14012|t__SGB14012;0,291447;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_349;-;-
14013;2;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2838|o__OFBG2838|f__FBG2838|g__GGB9085|s__GGB9085_SGB14013|t__SGB14013;0,3342755;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14014;1;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2838|o__OFBG2838|f__FBG2838|g__GGB9086|s__GGB9086_SGB14014|t__SGB14014;0,320287;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14015;1;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2838|o__OFBG2838|f__FBG2838|g__GGB9087|s__GGB9087_SGB14015|t__SGB14015;0,300994;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14016;2;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2839|o__OFBG2839|f__FBG2839|g__GGB9088|s__GGB9088_SGB14016|t__SGB14016;0,3134425;k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_475;-;-
14017;20;0;Yes;Other;k__Bacteria|p__Proteobacteria|c__CFBG2839|o__OFBG2839|f__FBG2839|g__GGB9088|s__GGB9088_SGB14017|t__SGB14017;0,28609045;k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_sp_CAG_727;-;-
14018;7;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2839|o__OFBG2839|f__FBG2839|g__GGB9089|s__GGB9089_SGB14018|t__SGB14018;0,316297571;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250;-;-
14019;1;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2839|o__OFBG2839|f__FBG2839|g__GGB9090|s__GGB9090_SGB14019|t__SGB14019;0,328965;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis;-;-
14020;7;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG2840|o__OFBG2840|f__FBG2840|g__GGB9091|s__GGB9091_SGB14020|t__SGB14020;0,296103429;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_CAG_314;-;-
